"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"AT5G57780.1","0","burg","1","26.2631578947368","1.01303834246057","7.07526441653209","-9.48333570236863e-16","0.713404750168351","0.649716916872429","-1054481283152544","0.00361168982458948","0.00764937383361772"
"AT5G57800.1","1","mle","1","23.0751445086705","1.0700420405874","0.832748809981215","1.73472347597681e-17","0.60490860273733","0.517110514456737","57646075230342352","0.0153157786271352","0.0239559500252475"
"AT5G57815.1","1","mle","1","24.1939393939394","1.24697487575304","12.9922341651857","6.01357252478137e-16","0.813506215477995","0.772063152250883","1662905030045108","0.000522383715291452","0.00220721256807775"
"AT5G57850.1","1","yule-walker","1","22.0552486187845","1.25386227213638","14.1897216117497","-1.01770443923973e-16","0.855311140193691","0.823158060236733","-9826035550626538","0.000166708569247609","0.00117484061379353"
"AT5G57870.1","1","yule-walker","1","22.4269662921348","1.24631048646373","20.1134566407981","-1.15597635630404e-15","0.798793693084229","0.75408118043628","-865069596403562","0.000735168946217168","0.00267342568995451"
"AT5G57870.2","0","mle","1","20.2639593908629","0.928656512170013","17.2226577847265","1.65367936358352e-16","0.416975084293496","0.287413991914273","6047121479662202","0.0882250710425955","0.112274097230832"
"AT5G57887.1","1","burg","1","23.3450292397661","1.18895441185078","10.8785381063537","4.65303432358362e-18","0.753271768564111","0.698443272689469","214913523188849120","0.00184070760084443","0.00475266295212002"
"AT5G57890.1","0","default","1","24","0.654863700965918","3.39875061784798","1.15359111152458e-16","0.318347174849774","0.166868769260835","8668582741404866","0.178252067385089","0.211307730111857"
"AT5G57900.1","1","burg","1","22.8114285714286","1.29384852749203","12.097834857449","-9.26541106569904e-18","0.867488713029355","0.838041760369211","-107928292971484464","0.000112237484271915","0.000967905197210077"
"AT5G57930.2","0","burg","1","24.3414634146341","1.07304528718214","15.9504660641996","3.28454530645432e-16","0.751646610731799","0.696456968672199","3044561443664498","0.00189589992881944","0.00485048380019204"
"AT5G57940.2","0","mle","1","24.4907975460123","0.536892906501984","9.98628175331277","1.47336750728107e-15","0.179615189823767","-0.00269254577095146","678717288835413","0.410278961622851","0.446495945059914"
"AT5G57950.1","0","default","1","24","0.555430200454365","15.9910046835367","-5.40366362766775e-16","0.155556354421562","-0.0320977890403129","-1850596315580814","0.46727013439135","0.501729118709576"
"AT5G57960.1","1","burg","1","22.8114285714286","1.29262456112556","20.2060216236115","2.52131215211504e-16","0.887563530447933","0.862577648325251","3966188792455289","5.35898328379858e-05","0.000669959812906452"
"AT5G57990.1","0","mle","2","22.8114285714286,24.7950310559006","2.08474222617984,1.6739606053841","17.7474712293032,2.35663716494138","7.51713506256616e-17","0.966772785706341","0.947785806109965","13302940437771310","2.93136608792155e-05","0.000506408324709899"
"AT5G58005.1","1","burg","1","25.4267515923567","1.1790548925704","14.1164080492076","1.17961196366423e-16","0.772341675314178","0.721750936495107","8477364004462108","0.00128166908888416","0.00377514552823648"
"AT5G58020.1","0","burg","1","22.9425287356322","1.19229568042661","14.7594395555283","-1.64205807154719e-16","0.709665033265318","0.645146151768722","-6089918604752971","0.00382866216159328","0.00798892985143715"
"AT5G58030.1","0","mle","1","23.2093023255814","1.14666073408855","13.8342017241875","1.26749897289407e-15","0.793159716945533","0.747195209600096","788955274430485","0.000832449803994328","0.0028747639501205"
"AT5G58040.2","1","mle","1","20.5773195876289","0.691689423945964","17.1351968180949","3.13451883083663e-16","0.326144452297329","0.176398775030068","3190282317535448","0.169258558069923","0.201576309528382"
"AT5G58060.1","0","burg","1","22.3016759776536","1.253094403874","14.6785103766974","1.58438529223454e-15","0.776272359004524","0.726555105449974","631159608020377","0.00118505469541141","0.00359714690933243"
"AT5G58070.1","1","burg","1","22.5536723163842","1.28926309577473","8.49595676772151","4.54497550705923e-16","0.854673390657193","0.822378588581014","2200231879020700","0.000170040798058713","0.00118812796903381"
"AT5G58090.1","0","default","1","24","0.836294669314772","18.9907199526398","4.83427678675078e-16","0.356938024898313","0.214035363764605","2068561739660175","0.137131660660739","0.166907749066497"
"AT5G58100.2","1","mle","1","20.7916666666667","1.31579030177809","16.9727046323553","7.97972798949331e-17","0.847479447207662","0.813585991031586","12531755484857030","0.000211338036390174","0.00134428660770956"
"AT5G58110.1","1","default","1","24","1.01695555793862","19.2266958263594","-7.40047039129767e-17","0.521726654260888","0.415443688541086","-13512654562822326","0.0361861852409497","0.050746670643505"
"AT5G58120.1","1","mle","1","25.5897435897436","1.37467679868204","20.5254576446581","1.11022302462516e-16","0.913379911177625","0.894131002550431","9007199254740992","1.65685236217517e-05","0.000374947959221011"
"AT5G58140.1","0","default","1","24","0.591516668540141","20.3162461896215","2.93729567939794e-16","0.203333988221513","0.0262970967151828","3404492121831501","0.359536760897901","0.396801212351911"
"AT5G58140.2","0","mle","1","27.5310344827586","0.772545568616083","20.4830437885382","-3.7020986681328e-17","0.264933064824487","0.101584857007706","-27011705782125024","0.250305847106454","0.286786566525219"
"AT5G58140.3","0","default","1","24","0.562297533330103","15.0457189415624","1.32570820640665e-16","0.160325453878403","-0.0262688897041738","7543138038728093","0.455511605999759","0.490322648401863"
"AT5G58140.6","0","default","1","24","0.891175030689496","0.805381404477915","3.40005801291454e-16","0.405452024520053","0.273330252191176","2941126287262364","0.0963476376779517","0.121500990415249"
"AT5G58140.7","0","burg","1","20.7916666666667","0.96191011484137","18.4660511416839","4.1286418728248e-16","0.526959737526637","0.421839679199223","2422104001274888","0.0344382822686815","0.0485604555731048"
"AT5G58200.1","0","default","1","24","0.538823351319198","17.7939194337171","3.53585433501835e-16","0.191434793726711","0.0117536367770912","2828170804708249","0.384341889483824","0.421242499288308"
"AT5G58200.2","0","default","1","24","0.534297303126287","13.5728645017759","8.90259861995845e-17","0.148944416070781","-0.0401790470246008","11232675342209994","0.483961333766964","0.51824510266517"
"AT5G58220.1","1","yule-walker","1","22.1777777777778","1.16904327368835","13.4767451910813","1.69540759469705e-15","0.715928787888099","0.652801851863232","589828666055190","0.00347074342585163","0.00743916703174056"
"AT5G58220.3","0","burg","1","23.4823529411765","1.10621229211229","13.7859635166045","-1.3587933133264e-16","0.625147192773123","0.541846568944929","-7359471011466363","0.012088528927322","0.0196502317283598"
"AT5G58230.1","1","mle","1","21.3475935828877","1.14417228113007","17.3047678503854","-4.02329356173163e-16","0.700310269042789","0.633712551052298","-2485525812761224","0.0044159421797747","0.00887659767819397"
"AT5G58240.1","0","burg","1","21.8142076502732","1.23635645138836","14.9407331486593","2.79886790827133e-16","0.747902598619396","0.691880953868151","3572873150050272","0.00202795194904826","0.00508924399713413"
"AT5G58240.3","0","mle","1","27.9160839160839","0.923179831580426","7.27665280598287","-1.17498603439496e-15","0.367621992281797","0.227093546122196","-851073945329858","0.127173144857467","0.15580360706979"
"AT5G58250.1","0","burg","1","21.8142076502732","1.14376118128547","8.37175135341477","1.22242439695025e-15","0.833021558051972","0.795915237619077","818046500458300","0.000317666793842708","0.00168123515057074"
"AT5G58260.1","0","burg","1","23.7619047619048","1.14161792518456","16.5362668661674","1.29530537048654e-16","0.766732224714004","0.714894941317116","7720187245300969","0.00143003400088593","0.00402749955826714"
"AT5G58260.2","1","mle","1","21.2340425531915","1.14258804314728","15.7042256580165","-4.00154175564614e-16","0.793448422240812","0.747548071627659","-2499036773985952","0.000827233903313185","0.0028706904839543"
"AT5G58270.1","0","mle","1","21.1216931216931","1.1091162142268","18.0341507826555","1.82701618590964e-16","0.796290936682629","0.751022255945435","5473405258870871","0.00077722468091812","0.00276878440996504"
"AT5G58290.1","0","mle","1","22.8114285714286","1.32371814486412","13.5033653270016","5.43573794193712e-16","0.905482985971765","0.884479205076601","1839676619222069","2.4535503148071e-05","0.000459014406392443"
"AT5G58310.1","1","burg","1","26.2631578947368","1.15324280635295","17.5073079407508","-1.11022302462516e-16","0.816915352185973","0.776229874893967","-9007199254740992","0.000480765926659243","0.0021147117443467"
"AT5G58330.1","1","burg","1","23.6213017751479","1.29371156298207","20.6647840113463","-1.23974000914665e-15","0.900671088490802","0.878597997044314","-806620737107877","3.06789536554941e-05","0.000517159504478329"
"AT5G58330.2","1","mle","1","25.9220779220779","1.15450602236647","18.9175197156349","-2.62530521049261e-16","0.715919243951639","0.652790187052003","-3809080925155980","0.00347126818603183","0.00743916703174056"
"AT5G58370.2","0","yule-walker","1","23.9041916167665","1.16366243762696","22.2557935065166","-3.63144482655916e-16","0.680671271478007","0.609709331806453","-2753724888469567","0.0058758535501503","0.0110269994245274"
"AT5G58370.3","1","mle","2","26.0915032679739,20.6839378238342","0.526275884129112,1.27508073393753","0.916473509534245,18.3900832164172","2.31291945954522e-16","0.653001371708197","0.454716441255738","4323540086417990","0.0808628900739752","0.103946027213812"
"AT5G58375.1","0","burg","1","26.2631578947368","1.11294591743017","12.9959238517962","-8.00272211056811e-16","0.771363981494692","0.720555977382402","-1249574814898840","0.00130662486627786","0.00382333247814706"
"AT5G58390.1","0","burg","1","23.7619047619048","0.975195761579664","13.0324117621411","-2.54539047536232e-17","0.497080269729803","0.385320329669759","-39286703147486840","0.0453674148536163","0.061990876210235"
"AT5G58420.1","0","yule-walker","1","22.8114285714286","1.18990045557945","22.0963901345605","2.68308415126798e-16","0.858993162921101","0.827658310236901","3727054179524769","0.000148450194082494","0.0011140888026782"
"AT5G58430.1","0","mle","1","24.4907975460123","1.38462584338878","10.348715271806","5.20417042793042e-16","0.942279931847577","0.929453250035927","1921535841011411","2.66667910786555e-06","0.000143905360103817"
"AT5G58490.1","0","burg","1","21.8142076502732","1.18797574902948","17.192767601284","2.8912509683852e-16","0.795565781463776","0.750135955122392","3458710471469424","0.000789752768711849","0.00279046560961686"
"AT5G58560.1","0","burg","1","22.3016759776536","1.18267404550955","15.3277400165269","-9.4830985331434e-16","0.806155889643607","0.76307942067552","-1054507655388166","0.000621636842567774","0.00242765666034956"
"AT5G58570.1","1","default","1","24","1.11258340863447","14.9949304422384","1.58435818718022e-16","0.670070744724617","0.596753132441199","6311704058409665","0.00680602782533879","0.0123718245815014"
"AT5G58590.1","1","burg","1","23.2093023255814","0.966367608744137","21.4269575281816","8.92813383987501e-16","0.488821680028159","0.375226497812194","1120054893816421","0.0488175430985329","0.0661269847008826"
"AT5G58600.1","0","mle","1","24.3414634146341","1.29413110525842","11.6166101067645","-3.46944695195361e-16","0.865139386528502","0.835170361312614","-2882303761517117","0.000121473931919192","0.00100697100266203"
"AT5G58640.1","0","burg","1","23.9041916167665","1.18530105088584","14.4279103070646","3.66894015169095e-16","0.700842984125818","0.634363647264889","2725582753207676","0.00438072878020379","0.00882095553095536"
"AT5G58710.1","1","default","1","24","1.22818580841601","15.0282448825705","3.85108611666851e-16","0.764292525611804","0.711913086858871","2596670055420826","0.00149858056119412","0.00414881149381106"
"AT5G58720.1","0","default","1","24","0.480897793079419","16.1226479908272","5.55111512312578e-16","0.131406417191828","-0.0616143789877652","1801439850948199","0.530487034721615","0.563682079345838"
"AT5G58740.1","0","burg","1","22.1777777777778","1.14987694402335","14.5161580021122","-1.27348580176527e-17","0.669611600927711","0.596191956689425","-78524628905468096","0.00684875377625604","0.0124389804725341"
"AT5G58760.1","1","mle","1","24.4907975460123","1.33889693301189","20.6844760345122","3.7702227046373e-16","0.87876107099848","0.85181908677592","2652363211250146","7.5229713974112e-05","0.000782872281683157"
"AT5G58770.1","1","yule-walker","1","23.2093023255814","1.24393723832708","19.4109506157785","8.78971736252103e-17","0.842697378715766","0.807741240652603","11376930096341402","0.000242835300121591","0.00144377758900055"
"AT5G58800.1","0","default","1","24","0.998569315385079","15.4834429262454","2.00658717072755e-16","0.505153404633526","0.395187494552088","4983586133651101","0.0421810746062016","0.0580761932070622"
"AT5G58800.2","1","mle","1","20.6839378238342","1.14288542759409","15.7645997477329","2.47480439642446e-16","0.764136950355783","0.711722939323735","4040723385835160","0.00150303672761487","0.00415269116526816"
"AT5G58870.1","1","default","1","24","1.36127794428108","23.1301642982309","-2.54412557282776e-16","0.947132433905048","0.935384085883947","-3930623592956206","1.79618856033237e-06","0.000123160921892095"
"AT5G58900.1","0","burg","1","22.3016759776536","1.22652982144535","15.3318219196047","-2.0122792321331e-16","0.790703450702549","0.744193106414226","-4969489243995029","0.000877868178111196","0.00296919204787302"
"AT5G58920.1","0","burg","1","22.4269662921348","1.20577020097641","14.3313038635965","-1.61252485611959e-17","0.721420409818768","0.659513834222939","-62014547943553616","0.00317886312268645","0.00697275666744046"
"AT5G58930.1","1","yule-walker","1","21.3475935828877","1.08613286408459","14.3525013219385","6.63818591385932e-16","0.67531552612894","0.60316342082426","1506435663261830","0.00633252403644247","0.0117110679605662"
"AT5G58950.1","0","mle","1","22.1777777777778","1.29175358913404","15.8538166248568","3.53600538922728e-16","0.840303293137222","0.804815136056605","2828049988403806","0.000259915286458412","0.00150057931732655"
"AT5G58960.1","0","mle","1","25.9220779220779","1.27992755518247","8.40131594897299","-8.32667268468867e-17","0.747725431994704","0.691664416882416","-12009599006321322","0.00203437317300337","0.00510089227589096"
"AT5G58960.2","0","default","1","24","0.641865504857422","15.0658057473904","6.97632146640324e-16","0.257524228095331","0.0925296121165157","1433420183997867","0.261860678865501","0.298794474928243"
"AT5G58990.1","0","burg","1","21.9340659340659","1.12135888736584","14.9909011893801","5.11158972679553e-16","0.7684176493091","0.716954904711122","1956338543287009","0.00138412260285492","0.00395600439431891"
"AT5G59000.1","0","mle","1","23.2093023255814","1.25919139826112","14.0490910745322","-1.06251812903579e-16","0.837736521039436","0.80167797015931","-9411604119239568","0.000279250220009075","0.00155772380468408"
"AT5G59010.1","0","burg","1","22.0552486187845","1.19572972747627","13.2857167073589","-6.24500451351651e-16","0.73408692600714","0.674995131786504","-1601279867509510","0.00257827125977195","0.00600748112996229"
"AT5G59030.1","1","mle","1","27.5310344827586","0.887455576581644","8.84678443264508","1.74396968762904e-15","0.351504817001397","0.207394776335041","573404461725205","0.142423087155216","0.172707207958696"
"AT5G59080.1","1","yule-walker","1","24.4907975460123","1.11022399364068","2.82909006830316","1.29523760785076e-16","0.643983469183348","0.564868684557426","7720591140488451","0.00958552132315493","0.0162818696505528"
