"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"AT1G71480.1","0.00810747064554171","0.00193362193362193","28","22","1.08115659840884"
"AT1G71500.1","0.0951258524510643","0.0572696458633959","24","18","1.39265358557499"
"AT1G71695.1","0.037129816454249","0.0175406595719096","24","18","1.06483842575938"
"AT1G71710.1","0.0225061986539284","0.0089799031986532","24","14","0.879826136145317"
"AT1G71710.2","0.33011780973387","0.247873827561328","24","22","1.04213142530514"
"AT1G71720.1","0.478586537290715","0.377646329365079","24","22","1.00592467328764"
"AT1G71720.2","0.942899444483651","0.805264174482925","24","0","0.105272978842973"
"AT1G71730.1","0.222989551992916","0.15763918951419","20","18","0.772893529648356"
"AT1G71780.1","0.0601338460704449","0.0324589646464646","24","18","1.37805148476248"
"AT1G71790.1","0.00504426125616406","0.000794327200577201","24","14","1.34130296948344"
"AT1G71810.1","0.00318510085246977","0.000294161856661857","24","20","1.31328210614189"
"AT1G71820.1","0.037129816454249","0.0175406595719096","24","18","1.04438725327573"
"AT1G71840.1","0.00195626018726725","9.57491582491583e-05","24","20","0.94097390162562"
"AT1G71860.1","0.147746940602152","0.0968455387205387","20","14","1.29391144241743"
"AT1G71865.1","0.0225061986539284","0.0089799031986532","24","16","1.23846151308545"
"AT1G71880.1","0.00504426125616406","0.000794327200577201","28","22","1.07821401842209"
"AT1G71950.1","0.0601338460704449","0.0324589646464646","24","14","1.07663976239187"
"AT1G71970.1","0.00195626018726725","9.57491582491583e-05","24","8","1.20161270403691"
"AT1G71980.1","0.00504426125616406","0.000794327200577201","28","12","1.27849270440668"
"AT1G72010.1","0.0601338460704449","0.0324589646464646","24","14","0.968144091647252"
"AT1G72020.1","0.147746940602152","0.0968455387205387","28","14","0.905159442948789"
"AT1G72030.1","0.0135213877612389","0.00432043650793651","24","22","1.1025839048618"
"AT1G72040.1","0.037129816454249","0.0175406595719096","24","0","0.878391297039117"
"AT1G72050.1","0.00810747064554171","0.00193362193362193","24","22","1.16156589690603"
"AT1G72090.1","0.942899444483651","0.805264174482925","24","18","0.782247488926403"
"AT1G72130.1","0.478586537290715","0.377646329365079","28","24","0.451044805801414"
"AT1G72150.1","0.00810747064554171","0.00193362193362193","24","10","1.15620458775082"
"AT1G72160.1","0.0135213877612389","0.00432043650793651","28","10","0.811075968442881"
"AT1G72170.1","0.147746940602152","0.0968455387205387","28","14","1.05312144474953"
"AT1G72180.1","0.33011780973387","0.247873827561328","24","10","1.35877348285001"
"AT1G72190.1","0.0135213877612389","0.00432043650793651","24","16","0.907208932018816"
"AT1G72330.1","0.00810747064554171","0.00193362193362193","24","16","1.05638019677446"
"AT1G72340.1","0.0951258524510643","0.0572696458633959","28","12","1.36248260023664"
"AT1G72340.2","1","1","20","16","0.988984803562962"
"AT1G72370.1","0.0225061986539284","0.0089799031986532","24","0","1.1237221590925"
"AT1G72370.2","1","1","20","16","0.628588327759206"
"AT1G72410.1","0.478586537290715","0.377646329365079","24","16","0.843652383509535"
"AT1G72416.1","0.00195626018726725","9.57491582491583e-05","24","14","1.36023170888098"
"AT1G72430.1","0.0225061986539284","0.0089799031986532","24","2","1.21371302353021"
"AT1G72440.1","0.0135213877612389","0.00432043650793651","24","0","0.975348557033214"
"AT1G72450.1","1","1","28","18","0.612821631825997"
"AT1G72480.1","0.00504426125616406","0.000794327200577201","28","14","1.11023867499273"
"AT1G72500.1","0.0225061986539284","0.0089799031986532","28","0","1.33444413777597"
"AT1G72510.1","0.0951258524510643","0.0572696458633959","24","20","0.807159966029272"
"AT1G72550.1","0.0225061986539284","0.0089799031986532","24","20","1.04141706764461"
"AT1G72600.2","1","1","28","14","1.21947519405453"
"AT1G72610.1","1","1","28","8","1.30542513053183"
"AT1G72630.1","0.00504426125616406","0.000794327200577201","24","8","1.19579608017873"
"AT1G72640.1","1","1","28","22","1.14123925227676"
"AT1G72640.2","0.222989551992916","0.15763918951419","28","14","0.365580674317459"
"AT1G72640.4","1","1","24","22","0.588612893545846"
"AT1G72645.1","0.00810747064554171","0.00193362193362193","24","18","0.998823825726017"
"AT1G72650.1","0.478586537290715","0.377646329365079","24","18","0.789251393823561"
"AT1G72680.1","0.00504426125616406","0.000794327200577201","24","12","1.39531388054441"
"AT1G72710.1","0.0601338460704449","0.0324589646464646","24","14","1.34523391443035"
"AT1G72750.1","0.00504426125616406","0.000794327200577201","24","22","1.1338722260084"
"AT1G72755.1","0.478586537290715","0.377646329365079","24","22","0.691497516504817"
"AT1G72770.1","0.0135213877612389","0.00432043650793651","28","22","1.36953362155324"
"AT1G72770.4","0.33011780973387","0.247873827561328","20","2","0.593526605537866"
"AT1G72820.1","0.0601338460704449","0.0324589646464646","24","8","1.08758362965967"
"AT1G72900.1","0.037129816454249","0.0175406595719096","24","14","1.09348550967686"
"AT1G72910.1","0.33011780973387","0.247873827561328","24","18","1.21431122247262"
"AT1G72930.1","0.679189801104077","0.558904371091871","24","18","1.24153753433045"
"AT1G72970.1","0.0225061986539284","0.0089799031986532","24","22","0.862266783459058"
"AT1G72970.2","1","1","28","20","0.275388317818897"
"AT1G73010.1","1","1","28","16","0.0299835003771039"
"AT1G73030.1","0.000662587092042538","5.78703703703704e-06","24","12","1.18014481852748"
"AT1G73060.1","0.037129816454249","0.0175406595719096","24","20","1.29578373071196"
"AT1G73090.1","0.037129816454249","0.0175406595719096","24","16","1.02709876664282"
"AT1G73110.1","0.0601338460704449","0.0324589646464646","24","20","1.21262157080071"
"AT1G73170.1","1","1","28","0","0.731439304633422"
"AT1G73170.2","0.0601338460704449","0.0324589646464646","28","18","1.42450251702122"
"AT1G73177.1","0.0135213877612389","0.00432043650793651","24","22","1.04196054041345"
"AT1G73180.1","0.037129816454249","0.0175406595719096","24","20","1.21211828608838"
"AT1G73230.1","0.0951258524510643","0.0572696458633959","24","0","1.16823228047263"
"AT1G73325.1","0.00810747064554171","0.00193362193362193","28","22","1.17465116959543"
"AT1G73330.1","0.942899444483651","0.805264174482925","28","14","0.764920522574834"
"AT1G73390.2","0.0951258524510643","0.0572696458633959","24","18","0.995953352866331"
"AT1G73390.3","1","1","28","22","1.04460616270563"
"AT1G73430.1","0.222989551992916","0.15763918951419","24","16","0.856590081917103"
"AT1G73470.1","0.0951258524510643","0.0572696458633959","28","8","1.09627756173602"
"AT1G73470.2","1","1","28","14","0.963199823394637"
"AT1G73480.1","0.00195626018726725","9.57491582491583e-05","24","8","0.712462968982072"
"AT1G73490.1","0.147746940602152","0.0968455387205387","24","22","0.751140870813683"
"AT1G73490.2","0.0951258524510643","0.0572696458633959","28","24","0.941488687030247"
"AT1G73500.1","0.0601338460704449","0.0324589646464646","28","12","1.07005941304103"
"AT1G73530.1","0.037129816454249","0.0175406595719096","24","12","0.703109403985446"
"AT1G73600.2","0.0225061986539284","0.0089799031986532","28","22","1.06164452924228"
"AT1G73620.1","0.0601338460704449","0.0324589646464646","24","16","1.13395292832455"
"AT1G73650.2","0.478586537290715","0.377646329365079","24","18","0.870862234030299"
"AT1G73650.3","1","1","28","20","1.01849557142302"
"AT1G73650.5","0.147746940602152","0.0968455387205387","28","18","0.419566264905648"
"AT1G73655.1","0.00810747064554171","0.00193362193362193","24","16","1.2379520370827"
"AT1G73660.1","0.00118699151043509","2.63798701298701e-05","24","0","1.05747042063244"
"AT1G73670.1","0.037129816454249","0.0175406595719096","24","0","0.964494998354166"
"AT1G73720.1","0.0601338460704449","0.0324589646464646","24","16","0.841918521657867"
"AT1G73750.1","0.037129816454249","0.0175406595719096","24","10","0.768884756640935"
"AT1G73760.1","0.0135213877612389","0.00432043650793651","28","10","1.22280139937827"
"AT1G73805.1","0.0225061986539284","0.0089799031986532","24","16","1.10435868154165"
"AT1G73820.1","0.942899444483651","0.805264174482925","28","10","0.156858749367372"
"AT1G73820.2","1","1","28","12","0.730549794933114"
"AT1G73830.1","0.222989551992916","0.15763918951419","24","12","0.70836395781088"
"AT1G73840.1","0.942899444483651","0.805264174482925","28","10","0.460796270032555"
"AT1G73870.1","0.00810747064554171","0.00193362193362193","24","2","1.26259296732888"
"AT1G73885.1","0.0135213877612389","0.00432043650793651","28","14","1.14831726350974"
"AT1G73920.1","0.679189801104077","0.558904371091871","28","26","1.12977390362594"
"AT1G73920.2","0.478586537290715","0.377646329365079","24","8","0.814979019755992"
"AT1G73940.1","0.147746940602152","0.0968455387205387","24","20","0.814058129590578"
"AT1G73980.1","0.037129816454249","0.0175406595719096","24","14","1.08564042430938"
"AT1G73990.1","0.147746940602152","0.0968455387205387","24","20","1.26121668254463"
"AT1G74020.1","0.0135213877612389","0.00432043650793651","24","18","1.21371547131622"
"AT1G74030.1","0.0225061986539284","0.0089799031986532","24","22","1.24298340427939"
"AT1G74040.1","0.037129816454249","0.0175406595719096","20","0","1.33433630704955"
"AT1G74050.1","1","1","28","0","1.03377956439329"
"AT1G74060.1","0.0951258524510643","0.0572696458633959","24","0","1.03420774410064"
"AT1G74070.1","0.037129816454249","0.0175406595719096","24","18","1.23231147829004"
"AT1G74090.1","0.00504426125616406","0.000794327200577201","24","22","1.17963211843638"
"AT1G74100.1","0.222989551992916","0.15763918951419","24","0","0.986349070816501"
"AT1G74210.1","0.0601338460704449","0.0324589646464646","24","18","0.814965536982761"
"AT1G74230.1","0.0135213877612389","0.00432043650793651","24","16","1.26142396227802"
"AT1G74260.1","0.222989551992916","0.15763918951419","28","22","0.951653142687951"
"AT1G74270.1","1","1","20","4","0.773018483845377"
"AT1G74340.1","0.147746940602152","0.0968455387205387","28","18","1.18444354329075"
"AT1G74370.1","0.0225061986539284","0.0089799031986532","24","10","1.36297564122225"
"AT1G74380.1","0.037129816454249","0.0175406595719096","24","14","1.03184975366791"
"AT1G74453.1","0.147746940602152","0.0968455387205387","20","2","0.951667958668685"
"AT1G74456.1","0.0601338460704449","0.0324589646464646","24","22","1.25260047464726"
"AT1G74470.1","0.00318510085246977","0.000294161856661857","24","2","1.32621159054365"
"AT1G74520.1","0.037129816454249","0.0175406595719096","24","16","1.28735341961984"
"AT1G74530.3","0.037129816454249","0.0175406595719096","24","16","1.18604207614753"
"AT1G74560.1","0.00504426125616406","0.000794327200577201","24","22","0.992816084705305"
"AT1G74640.1","0.00810747064554171","0.00193362193362193","24","12","1.03454468249141"
"AT1G74670.1","0.00810747064554171","0.00193362193362193","28","6","0.959022491255527"
"AT1G74680.1","0.00195626018726725","9.57491582491583e-05","24","12","1.07340560000432"
"AT1G74690.1","0.0601338460704449","0.0324589646464646","20","18","0.875785585728066"
"AT1G74710.1","1","1","24","6","0.573609776576872"
"AT1G74730.1","0.0601338460704449","0.0324589646464646","20","8","1.04762359704222"
"AT1G74850.1","0.147746940602152","0.0968455387205387","24","20","0.991528789948339"
"AT1G74880.1","0.00810747064554171","0.00193362193362193","24","18","1.19441894829249"
"AT1G74910.1","0.147746940602152","0.0968455387205387","28","10","1.37854196790439"
"AT1G74910.2","1","1","28","18","1.09240055382557"
"AT1G74910.3","1","1","28","14","1.64462780587073"
"AT1G74920.1","0.00318510085246977","0.000294161856661857","24","16","1.13353606969212"
"AT1G74940.1","0.00810747064554171","0.00193362193362193","24","12","1.19852707900489"
"AT1G74950.1","0.00195626018726725","9.57491582491583e-05","24","14","1.10594149055904"
"AT1G74960.2","0.942899444483651","0.805264174482925","24","14","0.664085526396299"
"AT1G74970.1","0.00810747064554171","0.00193362193362193","24","12","1.09346432293154"
"AT1G75010.1","0.0135213877612389","0.00432043650793651","24","16","1.0430700049658"
"AT1G75040.1","0.33011780973387","0.247873827561328","28","20","1.02504930553363"
"AT1G75080.1","0.0951258524510643","0.0572696458633959","24","14","0.887894398031661"
"AT1G75100.1","0.00195626018726725","9.57491582491583e-05","24","2","1.24637793809488"
"AT1G75170.1","0.0951258524510643","0.0572696458633959","24","20","1.11926786969296"
"AT1G75180.1","0.0225061986539284","0.0089799031986532","24","2","1.1339210492425"
"AT1G75180.3","0.0225061986539284","0.0089799031986532","28","2","0.914868931778855"
"AT1G75190.1","0.037129816454249","0.0175406595719096","28","10","0.98694344920875"
"AT1G75200.1","0.037129816454249","0.0175406595719096","20","0","1.21311030101866"
"AT1G75210.1","0.0951258524510643","0.0572696458633959","24","20","1.26357268998742"
"AT1G75220.1","0.00318510085246977","0.000294161856661857","24","8","1.05232865332973"
"AT1G75240.1","0.222989551992916","0.15763918951419","20","16","0.436825320259177"
"AT1G75250.2","0.00318510085246977","0.000294161856661857","24","10","1.22884785831044"
"AT1G75270.1","0.0135213877612389","0.00432043650793651","24","18","1.15905636252511"
"AT1G75280.1","0.0135213877612389","0.00432043650793651","28","22","1.39335340846058"
"AT1G75330.1","0.679189801104077","0.558904371091871","20","18","1.00502576997968"
"AT1G75340.1","0.0951258524510643","0.0572696458633959","24","18","0.927148622470106"
"AT1G75350.1","0.00195626018726725","9.57491582491583e-05","24","14","1.14989208591205"
"AT1G75370.1","0.00810747064554171","0.00193362193362193","24","12","1.19336482261157"
"AT1G75380.1","0.147746940602152","0.0968455387205387","24","12","0.823844392639923"
"AT1G75380.2","1","1","28","10","1.11287793332371"
"AT1G75380.3","0.0225061986539284","0.0089799031986532","24","12","0.806512320940344"
"AT1G75380.4","1","1","0","0","0"
"AT1G75410.1","0.0951258524510643","0.0572696458633959","24","20","0.965920899835566"
"AT1G75460.1","0.0225061986539284","0.0089799031986532","24","12","0.971797496409369"
"AT1G75500.1","1","1","28","6","0.832000553867"
"AT1G75510.1","0.478586537290715","0.377646329365079","24","18","0.915201467964518"
"AT1G75540.1","0.00318510085246977","0.000294161856661857","28","8","1.21538722622894"
"AT1G75560.1","0.222989551992916","0.15763918951419","24","18","0.903978821897526"
"AT1G75630.1","0.00810747064554171","0.00193362193362193","24","12","1.33383758920915"
"AT1G75660.1","0.679189801104077","0.558904371091871","20","0","0.973437832002203"
"AT1G75670.2","0.00810747064554171","0.00193362193362193","24","22","1.18016490040657"
"AT1G75680.1","0.00504426125616406","0.000794327200577201","24","18","1.08705511730162"
"AT1G75690.1","0.0601338460704449","0.0324589646464646","24","4","1.31523032638108"
"AT1G75710.1","0.00810747064554171","0.00193362193362193","24","18","1.16656625809867"
"AT1G75750.1","0.222989551992916","0.15763918951419","28","18","0.817540684326496"
"AT1G75780.1","0.00810747064554171","0.00193362193362193","28","10","1.30528914680666"
"AT1G75800.1","0.00318510085246977","0.000294161856661857","24","14","1.32223093078769"
"AT1G75810.1","0.0225061986539284","0.0089799031986532","28","18","0.807435382872132"
"AT1G75820.1","0.222989551992916","0.15763918951419","24","10","1.16465078989251"
"AT1G75840.1","0.00810747064554171","0.00193362193362193","28","14","1.17391178940371"
"AT1G75850.1","1","1","28","22","1.30883323951495"
"AT1G75900.1","1","1","20","4","0.525145389680264"
"AT1G75950.1","0.00195626018726725","9.57491582491583e-05","24","12","1.10068495208085"
"AT1G75960.1","0.00195626018726725","9.57491582491583e-05","24","10","1.16541755808998"
"AT1G75990.1","0.0225061986539284","0.0089799031986532","24","14","1.14687713314052"
"AT1G76010.2","0.222989551992916","0.15763918951419","20","18","1.1466157760477"
"AT1G76030.1","0.0951258524510643","0.0572696458633959","24","16","1.0204024210268"
"AT1G76050.2","0.0601338460704449","0.0324589646464646","24","16","0.863249656049918"
"AT1G76080.1","0.0951258524510643","0.0572696458633959","24","12","0.99834411489099"
"AT1G76090.1","0.0601338460704449","0.0324589646464646","24","10","1.08842175889823"
"AT1G76100.1","0.147746940602152","0.0968455387205387","20","8","1.03021401452439"
